process_name,upload_kbps,download_kbps
Discord.exe,10.228515625,0.2734375
opera.exe,1067854.8168945312,106653.23828125
Code.exe,0.9296875,0.0546875
ProxiFyre.exe,35.244140625,254.396484375
OUTLOOK.EXE,55029.75048828125,21531.6103515625
msedgewebview2.exe,1.78125,0.859375
Discord.exe,1461.5576171875,7193.10400390625
Discord.exe,0.91796875,1.48046875
opera.exe,9196.24365234375,600.07080078125
SearchProtocolHost.exe,0.0,14.0
ProxiFyre.exe,11.337890625,0.0
SearchHost.exe,213.1298828125,438.07080078125
OUTLOOK.EXE,130119.72998046875,36772.1064453125
Discord.exe,0.3203125,0.2734375
opera.exe,0.546875,1.2109375
SearchProtocolHost.exe,0.0,70.0
msedgewebview2.exe,600.44140625,2993.828125
SearchHost.exe,86.08203125,73.21240234375
OUTLOOK.EXE,135762.3642578125,54903.82763671875
RiotClientServices.exe,26.974609375,174.7578125
Discord.exe,1.69140625,1.48046875
opera.exe,65.099609375,0.2734375
OUTLOOK.EXE,224753.0146484375,262029.033203125
RiotClientServices.exe,9.9609375,9.9609375
Discord.exe,11.44482421875,0.21875
opera.exe,384.10986328125,15.052734375
SearchProtocolHost.exe,0.0,3.25
svchost.exe,0.0,8.830078125
OUTLOOK.EXE,93922.09814453125,87756.94677734375
msedgewebview2.exe,5.42578125,23.87890625
Discord.exe,12.86865234375,0.21875
opera.exe,1263.0869140625,303.0576171875
SearchHost.exe,0.0703125,29.6171875
OUTLOOK.EXE,54131.248046875,23938.47216796875
msedgewebview2.exe,37.23046875,0.771484375
Discord.exe,0.984375,0.984375
opera.exe,1064796.8081054688,106834.55517578125
svchost.exe,8.0,0.0
Discord.exe,11.955078125,0.109375
SearchHost.exe,0.0703125,0.1015625
OUTLOOK.EXE,678.05859375,1062.09765625
msedgewebview2.exe,111.92724609375,147.533203125
RiotClientServices.exe,10656.814453125,20401.22412109375
opera.exe,134.171875,115.2421875
Discord.exe,6.08349609375,0.109375
SearchProtocolHost.exe,0.0,1.5
msedgewebview2.exe,1.859375,0.9296875
ProxiFyre.exe,29.5654296875,169.59765625
SearchHost.exe,112.7373046875,117.2373046875
OUTLOOK.EXE,24297.47265625,197.73828125
Discord.exe,1441.35888671875,7179.99072265625
opera.exe,1073748.9614257812,115678.783203125
Discord.exe,21.02783203125,172.3779296875
msedgewebview2.exe,25.181640625,24.744140625
SearchHost.exe,135.6171875,187.546875
OUTLOOK.EXE,2051.22265625,2.48828125
steam.exe,212.123046875,38311.76171875
