process_name,upload_kbps,download_kbps
steam.exe,0.11669921875,0.0
OUTLOOK.EXE,0.072265625,0.0
Discord.exe,0.0263671875,0.0
ProxiFyre.exe,0.0791015625,0.0
svchost.exe,2.29833984375,0.0
svchost.exe,1.1962890625,0.0
msedge.exe,50.58154296875,0.0
OUTLOOK.EXE,0.072265625,0.0
LeagueClient.exe,1.3984375,0.0
msedge.exe,144.76806640625,0.0
svchost.exe,5.404296875,0.0
OUTLOOK.EXE,2.2880859375,0.0
LeagueClient.exe,0.02734375,0.0
Discord.exe,3.30859375,0.0
ProxiFyre.exe,3.2763671875,0.0
ciadpi.exe,4.08203125,0.0
POWERPNT.EXE,32.6044921875,0.0
svchost.exe,2.58740234375,0.0
msedgewebview2.exe,0.12353515625,0.0
ciadpi.exe,0.7001953125,0.0
svchost.exe,2.1572265625,0.0
msedgewebview2.exe,1.12548828125,0.0
OUTLOOK.EXE,1.673828125,0.0
RiotClientServices.exe,0.36279296875,0.0
ciadpi.exe,0.7001953125,0.0
svchost.exe,0.59716796875,0.0
opera.exe,0.119140625,0.0
OUTLOOK.EXE,0.072265625,0.0
svchost.exe,20.7197265625,0.0
EpicGamesLauncher.exe,0.0712890625,0.0
msedge.exe,0.7275390625,0.0
opera.exe,0.107421875,0.0
LeagueClient.exe,0.1181640625,0.0
msedgewebview2.exe,3.708984375,0.0
ciadpi.exe,0.7001953125,0.0
msedge.exe,0.17041015625,0.0
RiotClientServices.exe,0.0537109375,0.0
opera.exe,0.10546875,0.0
LeagueClient.exe,0.05908203125,0.0
msedgewebview2.exe,74.53466796875,0.0
msedge.exe,0.3681640625,0.0
RiotClientServices.exe,0.1181640625,0.0
RiotClientServices.exe,0.068359375,0.0
RiotClientServices.exe,1.76904296875,0.0
steam.exe,0.080078125,0.0
svchost.exe,0.31787109375,0.0
OUTLOOK.EXE,0.14453125,0.0
LeagueClient.exe,1.5986328125,0.0
OUTLOOK.EXE,0.14453125,0.0
ciadpi.exe,0.7001953125,0.0
LeagueClient.exe,5.71826171875,0.0
RiotClientServices.exe,3.3740234375,0.0
RiotClientServices.exe,2.67529296875,0.0
LeagueClient.exe,21.037109375,0.0
ms-teams.exe,0.13037109375,0.0
OUTLOOK.EXE,0.072265625,0.0
POWERPNT.EXE,0.2109375,0.0
WINWORD.EXE,0.10546875,0.0
msedge.exe,3.03857421875,0.0
WINWORD.EXE,0.10546875,0.0
opera.exe,0.080078125,0.0
RiotClientServices.exe,1.12255859375,0.0
LeagueClient.exe,211.88916015625,0.0
OUTLOOK.EXE,0.283203125,0.0
svchost.exe,0.81884765625,0.0
msedge.exe,0.05908203125,0.0
opera.exe,0.1455078125,0.0
OUTLOOK.EXE,0.19091796875,0.0
msedge.exe,0.05908203125,0.0
opera.exe,0.119140625,0.0
POWERPNT.EXE,17.83349609375,0.0
svchost.exe,1.20556640625,0.0
Discord.exe,0.052734375,0.0
ProxiFyre.exe,0.10546875,0.0
RiotClientServices.exe,0.02685546875,0.0
RiotClientServices.exe,0.0322265625,0.0
opera.exe,0.10546875,0.0
ProxiFyre.exe,0.14697265625,0.0
Discord.exe,0.06787109375,0.0
ciadpi.exe,0.12158203125,0.0
POWERPNT.EXE,0.45947265625,0.0
OUTLOOK.EXE,0.33544921875,0.0
RiotClientServices.exe,0.05908203125,0.0
OUTLOOK.EXE,0.84912109375,0.0
?,0.369140625,0.0
LeagueClient.exe,0.0537109375,0.0
RiotClientServices.exe,0.0537109375,0.0
OUTLOOK.EXE,0.072265625,0.0
msedgewebview2.exe,2.2958984375,0.0
WINWORD.EXE,0.35693359375,0.0
OUTLOOK.EXE,0.21728515625,0.0
EpicWebHelper.exe,0.0712890625,0.0
?,0.474609375,0.0
OUTLOOK.EXE,0.072265625,0.0
msedgewebview2.exe,33.32470703125,0.0
steam.exe,0.080078125,0.0
